A*[1][0]=3.4641	B*[1][0]=0.977343	V*[1][0]=0.0351676	W*[1][0]=0
A*[1][1]=0.345543	B*[1][1]=-4.89898	V*[1][1]=-0.176279	W*[1][1]=0.174517
A*[2][0]=4.51663	B*[2][0]=3.78523	V*[2][0]=0.0458598	W*[2][0]=0
A*[2][1]=0.772658	B*[2][1]=-11.1724	V*[2][1]=-0.135359	W*[2][1]=0.131391
A*[2][2]=-0.0544984	B*[2][2]=-1.54532	V*[2][2]=-0.0187222	W*[2][2]=-0.018535
A*[3][0]=5.44945	B*[3][0]=9.00206	V*[3][0]=0.0550829	W*[3][0]=0
A*[3][1]=1.29934	B*[3][1]=-19.3334	V*[3][1]=-0.1183	W*[3][1]=0.111592
A*[3][2]=-0.144189	B*[3][2]=-4.1292	V*[3][2]=-0.0252662	W*[3][2]=-0.0247671
A*[3][3]=-0.00830393	B*[3][3]=0.35319	V*[3][3]=0.00216114	W*[3][3]=-0.00213953
A*[4][0]=6.35909	B*[4][0]=17.1807	V*[4][0]=0.0637136	W*[4][0]=0
A*[4][1]=1.92086	B*[4][1]=-29.6441	V*[4][1]=-0.109933	W*[4][1]=0.099983
A*[4][2]=-0.284121	B*[4][2]=-8.24275	V*[4][2]=-0.0305677	W*[4][2]=-0.0295776
A*[4][3]=-0.0249118	B*[4][3]=1.0666	V*[4][3]=0.00395541	W*[4][3]=-0.00389005
A*[4][4]=0.00124247	B*[4][4]=0.0704612	V*[4][4]=0.000261301	W*[4][4]=0.000258688
